City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,2023-01-01,377,36.7,227.6,28.3,8.7,0.4,91.5
Delhi,2023-01-02,329,30.9,138.1,7.8,12.5,1.4,12.9
Delhi,2023-01-03,151,181.8,216.4,44.9,23.6,0.8,105.6
Delhi,2023-01-04,438,203.4,215.5,37.3,9.5,2.4,47.0
Delhi,2023-01-05,97,101.2,120.5,37.7,14.7,0.3,60.5
Delhi,2023-01-06,113,243.5,126.0,57.4,41.8,1.6,104.8
Delhi,2023-01-07,345,56.1,39.5,67.8,39.1,2.5,104.1
Delhi,2023-01-08,493,34.2,97.8,65.4,19.5,1.1,33.0
Delhi,2023-01-09,186,178.4,211.4,11.8,32.5,1.4,36.9
Delhi,2023-01-10,286,101.1,297.1,65.8,28.7,1.8,102.7
Delhi,2023-01-11,447,23.4,250.1,81.5,21.3,0.4,110.4
Delhi,2023-01-12,340,220.3,108.1,67.3,21.0,2.3,60.5
Delhi,2023-01-13,185,43.5,228.6,56.2,37.9,1.2,74.2
Delhi,2023-01-14,235,62.6,299.3,53.4,6.4,0.3,22.1
Delhi,2023-01-15,371,48.4,210.5,61.7,20.5,1.6,61.5
Delhi,2023-01-16,178,243.1,261.0,6.1,36.6,1.8,69.1
Delhi,2023-01-17,186,194.5,115.2,32.9,9.6,0.2,89.4
Delhi,2023-01-18,418,73.2,160.2,22.0,45.8,2.2,42.8
Delhi,2023-01-19,377,131.8,75.7,40.5,9.8,2.4,111.5
Delhi,2023-01-20,50,153.7,156.8,15.6,19.4,2.5,98.7
Delhi,2023-01-21,172,23.9,265.8,95.0,6.1,1.3,17.6
Delhi,2023-01-22,439,137.8,55.2,67.7,47.4,0.6,68.0
Delhi,2023-01-23,360,111.6,79.3,56.2,37.0,0.7,44.3
Delhi,2023-01-24,393,166.0,142.7,54.2,7.8,0.7,47.2
Delhi,2023-01-25,351,142.9,184.8,5.7,36.0,0.3,17.4
Delhi,2023-01-26,66,216.3,39.8,27.6,34.1,0.7,24.6
Delhi,2023-01-27,342,148.3,88.0,49.9,21.5,0.4,82.5
Delhi,2023-01-28,231,111.7,150.8,74.3,34.3,2.5,20.8
Delhi,2023-01-29,256,184.8,244.2,15.4,11.2,1.4,25.4
Delhi,2023-01-30,143,76.9,89.9,92.7,23.3,2.2,70.5
Delhi,2023-01-31,75,166.5,171.4,6.4,6.5,1.9,36.0
Delhi,2023-02-01,258,126.6,79.8,43.1,4.8,1.1,118.4
Delhi,2023-02-02,185,232.4,239.8,32.1,35.4,1.9,96.2
Delhi,2023-02-03,388,182.4,63.3,33.2,48.5,1.5,69.6
Delhi,2023-02-04,432,85.3,34.0,50.3,46.1,1.4,16.3
Delhi,2023-02-05,310,29.2,72.0,61.5,34.4,0.7,23.2
Delhi,2023-02-06,341,69.1,186.5,63.8,22.1,1.5,67.5
Delhi,2023-02-07,183,59.0,220.5,27.7,21.0,1.7,43.0
Delhi,2023-02-08,211,233.0,282.0,5.9,31.8,1.5,21.0
Delhi,2023-02-09,325,61.2,94.3,93.7,44.3,2.2,50.6
Delhi,2023-02-10,130,115.2,172.1,33.7,49.2,2.1,68.2
Delhi,2023-02-11,391,206.1,103.8,68.0,47.1,0.5,22.7
Delhi,2023-02-12,104,188.2,63.5,31.8,12.1,1.0,85.6
Delhi,2023-02-13,486,73.4,156.8,91.0,42.6,0.4,56.6
Delhi,2023-02-14,191,20.6,113.4,17.4,49.0,0.6,58.6
Delhi,2023-02-15,411,112.6,22.7,12.1,44.4,2.3,70.0
Delhi,2023-02-16,477,98.6,174.7,45.8,4.0,1.0,112.6
Delhi,2023-02-17,490,19.6,120.2,69.8,34.0,1.0,71.6
Delhi,2023-02-18,497,107.5,193.8,19.7,46.6,2.2,117.4
Delhi,2023-02-19,465,52.5,135.4,22.0,46.4,2.0,55.3
Delhi,2023-02-20,392,217.4,247.0,30.3,39.8,0.4,105.9
Delhi,2023-02-21,489,123.0,75.9,92.3,18.8,2.1,105.8
Delhi,2023-02-22,164,15.7,74.1,36.2,43.5,2.4,40.7
Delhi,2023-02-23,378,132.3,210.3,85.1,17.9,0.3,106.5
Delhi,2023-02-24,183,52.9,289.5,30.2,7.2,1.2,90.1
Delhi,2023-02-25,210,114.7,295.6,16.0,45.2,0.6,14.9
Delhi,2023-02-26,273,10.4,279.2,56.2,36.5,1.9,83.8
Delhi,2023-02-27,236,113.5,285.7,92.5,31.9,1.7,23.7
Delhi,2023-02-28,203,131.7,206.7,36.0,35.5,1.5,31.1
Delhi,2023-03-01,390,235.7,209.6,90.8,31.5,0.9,70.3
Delhi,2023-03-02,50,82.9,78.9,79.6,31.1,0.9,58.6
Delhi,2023-03-03,395,61.3,152.5,90.6,40.2,0.6,19.3
Delhi,2023-03-04,313,169.3,193.4,13.9,47.7,0.7,44.1
Delhi,2023-03-05,462,57.8,26.8,28.3,24.8,2.2,18.0
Delhi,2023-03-06,262,222.7,181.2,73.2,20.4,1.1,26.2
Delhi,2023-03-07,402,11.3,230.3,78.2,7.1,1.2,29.3
Delhi,2023-03-08,406,134.3,34.1,28.7,42.7,1.2,98.2
Delhi,2023-03-09,391,137.5,176.5,35.1,38.3,1.2,99.7
Delhi,2023-03-10,308,112.4,273.9,47.4,9.6,2.2,59.5
Delhi,2023-03-11,434,69.3,198.5,77.8,27.0,1.6,40.2
Delhi,2023-03-12,89,181.3,85.7,36.9,44.9,0.4,26.6
Delhi,2023-03-13,246,176.5,217.8,11.1,21.6,1.4,55.7
Delhi,2023-03-14,155,209.9,129.1,78.1,47.4,0.2,106.9
Delhi,2023-03-15,344,101.3,21.7,38.4,38.2,2.2,114.9
Delhi,2023-03-16,264,139.2,225.7,81.0,45.1,1.3,40.0
Delhi,2023-03-17,298,17.0,114.1,69.5,21.4,0.6,61.4
Delhi,2023-03-18,115,245.4,169.6,91.2,30.4,1.7,19.2
Delhi,2023-03-19,269,42.6,149.3,9.8,20.2,0.7,46.0
Delhi,2023-03-20,439,221.1,97.9,95.4,22.2,2.1,61.7
Delhi,2023-03-21,433,139.5,300.0,38.2,33.2,2.0,81.7
Delhi,2023-03-22,436,17.4,89.2,84.7,31.8,0.7,62.1
Delhi,2023-03-23,108,145.4,81.0,71.4,38.8,0.6,76.8
Delhi,2023-03-24,432,182.4,237.8,20.6,16.9,1.5,112.2
Delhi,2023-03-25,344,172.6,288.3,42.7,36.3,0.4,86.0
Delhi,2023-03-26,371,68.3,215.2,33.7,34.8,2.1,97.6
Delhi,2023-03-27,339,197.8,117.2,45.7,19.8,1.4,47.5
Delhi,2023-03-28,484,110.8,157.3,46.2,19.4,2.3,60.6
Delhi,2023-03-29,128,114.5,225.5,96.7,15.0,2.1,69.2
Delhi,2023-03-30,297,121.6,251.2,61.3,17.5,0.8,112.8
Delhi,2023-03-31,192,221.6,88.3,49.1,31.3,1.1,13.2
Delhi,2023-04-01,485,88.0,156.5,38.7,14.4,0.8,75.6
Delhi,2023-04-02,500,76.3,22.8,95.1,6.1,1.9,63.7
Delhi,2023-04-03,438,67.7,153.3,72.6,23.5,0.2,42.4
Delhi,2023-04-04,257,176.0,105.7,60.2,24.7,1.4,56.8
Delhi,2023-04-05,431,142.1,118.5,48.1,16.7,0.7,89.3
Delhi,2023-04-06,211,38.7,170.0,77.4,10.9,0.7,63.3
Delhi,2023-04-07,420,151.5,232.9,61.7,49.1,2.1,42.6
Delhi,2023-04-08,234,53.1,24.0,55.7,15.2,2.4,70.9
Delhi,2023-04-09,407,236.6,198.6,76.5,6.9,0.2,41.3
Delhi,2023-04-10,295,115.7,71.6,9.9,47.2,1.3,100.4
Delhi,2023-04-11,255,128.0,181.6,70.2,9.3,2.1,114.4
Delhi,2023-04-12,93,248.5,53.2,77.6,31.1,2.0,34.8
Delhi,2023-04-13,317,101.3,274.4,33.2,30.2,1.2,72.5
Delhi,2023-04-14,80,156.3,227.2,95.0,12.0,0.7,82.6
Delhi,2023-04-15,130,67.6,174.6,19.9,21.6,1.8,61.7
Delhi,2023-04-16,66,65.6,217.9,71.8,23.8,1.8,111.6
Delhi,2023-04-17,453,199.9,185.1,81.4,11.5,0.5,34.7
Delhi,2023-04-18,126,228.0,251.5,11.8,10.0,0.9,92.4
Delhi,2023-04-19,341,231.1,143.0,49.5,16.6,1.1,39.9
Delhi,2023-04-20,326,128.5,42.5,8.8,22.7,0.9,37.5
Delhi,2023-04-21,96,64.9,208.8,86.7,30.2,0.2,94.1
Delhi,2023-04-22,470,74.7,31.3,76.8,24.6,1.7,110.8
Delhi,2023-04-23,142,249.3,142.0,82.4,48.5,1.3,54.9
Delhi,2023-04-24,214,170.8,260.2,36.3,35.3,0.9,114.0
Delhi,2023-04-25,466,192.5,30.3,13.4,14.1,0.5,95.0
Delhi,2023-04-26,492,133.5,296.7,67.5,28.0,1.2,30.6
Delhi,2023-04-27,235,159.4,159.6,47.0,4.5,0.8,24.4
Delhi,2023-04-28,197,115.1,215.5,16.5,48.7,1.6,36.3
Delhi,2023-04-29,131,84.6,23.8,43.8,12.8,2.1,22.5
Delhi,2023-04-30,110,165.5,63.1,93.6,16.0,1.8,55.7
Delhi,2023-05-01,297,245.3,88.2,57.4,20.4,2.3,65.9
Delhi,2023-05-02,500,42.8,39.5,78.4,43.0,1.0,96.6
Delhi,2023-05-03,186,206.9,99.2,33.4,30.2,2.5,63.9
Delhi,2023-05-04,126,117.2,155.6,36.6,38.6,1.1,112.6
Delhi,2023-05-05,495,55.3,215.3,59.3,13.2,2.0,14.8
Delhi,2023-05-06,431,123.5,275.8,41.2,49.4,2.0,81.7
Delhi,2023-05-07,127,128.9,30.4,52.7,30.3,2.2,106.2
Delhi,2023-05-08,275,33.9,274.9,6.5,8.9,2.2,116.7
Delhi,2023-05-09,88,122.7,291.4,37.2,35.2,1.7,103.7
Delhi,2023-05-10,486,171.8,169.4,95.6,32.1,2.2,63.7
Delhi,2023-05-11,327,18.6,39.2,65.0,46.2,2.5,92.1
Delhi,2023-05-12,272,244.8,232.9,71.9,6.8,0.6,42.9
Delhi,2023-05-13,64,21.0,242.9,32.9,20.0,0.5,68.4
Delhi,2023-05-14,339,173.6,70.4,21.6,31.3,1.1,85.1
Delhi,2023-05-15,304,229.1,60.1,48.8,14.2,0.8,11.0
Delhi,2023-05-16,461,121.7,100.5,56.9,5.5,2.4,118.6
Delhi,2023-05-17,203,163.3,138.8,28.8,42.6,0.7,52.3
Delhi,2023-05-18,297,35.6,126.8,39.1,16.2,1.8,12.4
Delhi,2023-05-19,474,168.0,96.9,58.8,34.9,1.9,15.4
Delhi,2023-05-20,360,188.8,253.2,90.8,39.2,0.7,98.2
Delhi,2023-05-21,162,162.8,193.8,69.4,36.6,1.7,102.2
Delhi,2023-05-22,371,33.3,195.7,8.7,39.9,0.3,50.1
Delhi,2023-05-23,117,31.6,102.6,76.0,10.4,0.5,69.3
Delhi,2023-05-24,237,137.4,275.8,83.9,14.3,2.1,63.0
Delhi,2023-05-25,462,80.8,263.7,81.4,24.5,0.4,93.0
Delhi,2023-05-26,165,216.4,222.8,98.1,48.4,2.1,50.2
Delhi,2023-05-27,454,104.7,94.0,16.7,19.7,1.9,38.8
Delhi,2023-05-28,245,207.4,283.3,15.3,13.2,0.3,107.3
Delhi,2023-05-29,337,88.7,190.8,66.5,32.5,1.3,87.1
Delhi,2023-05-30,382,108.0,59.1,94.9,16.6,1.3,20.7
Delhi,2023-05-31,325,42.6,147.0,68.7,37.7,2.4,56.1
Delhi,2023-06-01,430,184.4,267.9,67.2,42.0,1.6,113.3
Delhi,2023-06-02,193,17.9,123.7,47.1,47.6,2.2,20.9
Delhi,2023-06-03,401,98.2,272.5,66.3,4.9,0.8,116.5
Delhi,2023-06-04,484,207.8,45.7,25.2,32.7,2.4,15.6
Delhi,2023-06-05,220,68.5,55.3,58.6,5.3,2.0,32.8
Delhi,2023-06-06,160,205.1,85.2,78.6,39.9,1.6,40.5
Delhi,2023-06-07,124,247.0,171.3,80.9,7.3,2.2,24.5
Delhi,2023-06-08,233,199.6,86.6,35.8,10.4,0.3,91.6
Delhi,2023-06-09,319,37.3,37.8,47.6,19.4,1.6,59.7
Delhi,2023-06-10,163,236.9,32.1,79.4,43.6,1.4,60.4
